Lambda Execution Result (Latest Run):
INIT_REPORT Init Duration: 10003.05 ms	Phase: init	Status: timeout

=== Experiment Errors ===

/usr/local/lib/python3.11/site-packages/joblib/_multiprocessing_helpers.py:44: UserWarning: [Errno 2] No such file or directory.  joblib will operate in serial mode

warnings.warn("%s.  joblib will operate in serial mode" % (e,))

2025-09-21 13:24:55,771 - INFO - Starting MoSEs framework demonstration

2025-09-21 13:24:55,771 - INFO - MoSEs framework initialized with 3 prototypes and 16 PCA components

2025-09-21 13:24:55,771 - INFO - Generating training data

2025-09-21 13:24:55,771 - INFO - Generating synthetic data with 500 samples

2025-09-21 13:24:55,778 - INFO - Generating test data

2025-09-21 13:24:55,779 - INFO - Generating synthetic data with 100 samples

2025-09-21 13:24:55,780 - INFO - Building Stylistics Reference Repository with 500 samples

2025-09-21 13:24:55,780 - INFO - Extracting features from 500 texts

2025-09-21 13:24:55,962 - INFO - Created 3 prototypes for style: academic

2025-09-21 13:24:55,977 - INFO - Created 3 prototypes for style: dialogue

2025-09-21 13:24:55,986 - INFO - Created 3 prototypes for style: news

2025-09-21 13:24:55,995 - INFO - Created 3 prototypes for style: story

2025-09-21 13:24:55,995 - INFO - Extracting features from 1 texts

2025-09-21 13:24:55,995 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:55,997 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:55,997 - INFO - Training Conditional Threshold Estimator on 30 samples

2025-09-21 13:24:56,013 - INFO - CTE model trained successfully with 30 samples

2025-09-21 13:24:56,013 - INFO - Predicting labels for 100 texts

2025-09-21 13:24:56,014 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,014 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,014 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,017 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,017 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,018 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,018 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,018 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,018 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,019 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,019 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,019 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,020 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,020 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,020 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,020 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,020 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,021 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,021 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,021 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,021 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,022 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,022 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,022 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,023 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,023 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,023 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,023 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,023 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,024 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,024 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,024 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,024 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,025 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,025 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,025 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,025 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,025 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,025 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,026 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,026 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,026 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,026 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,026 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,027 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,027 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,027 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,027 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,028 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,028 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,028 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,028 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,029 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,029 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,029 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,029 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,030 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,030 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,030 - INFO - Routing text to nearest prototypes

2025-09-21 13:24:56,030 - INFO - Activated 30 reference samples via 3 nearest prototypes

2025-09-21 13:24:56,031 - INFO - Extracting features from 1 texts

2025-09-21 13:24:56,031 - INFO - Routing text to nearest prototypes

